ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"TACO BELL, ќригинальное тако с гов€диной",229 к ал,"8,86 г","12,7 г","15,95 г"
"TACO BELL, салат тако",170 к ал,"6,69 г","9,17 г","12,1 г"
"WENDY'S, гамбургер ""CLASSIC SINGLE"", без сыра",213 к ал,"12,63 г","10,6 г","15,52 г"
"WENDY'S, гамбургер ""CLASSIC SINGLE"", с сыром",221 к ал,"14,87 г","11,6 г","12,8 г"
"WENDY'S, гамбургер ""Jr. Hamburger"", без сыра",243 к ал,"12,62 г","8,75 г","26,75 г"
"WENDY'S, гамбургер ""Jr. Hamburger"", с сыром",256 к ал,"13,06 г","11,5 г","23,57 г"
"WENDY'S, замороженные десерты на каждый день ""Frosty Dairy Dessert""",132 к ал,"3,49 г","2,6 г","20,32 г"
"WENDY'S, классический двойной сэндвич ""CLASSIC DOUBLE"", с сыром",241 к ал,"16,52 г","14,2 г","10,61 г"
"WENDY'S, куринные нагетсы",326 к ал,"16,46 г","22,55 г","14,31 г"
"WENDY'S, сэндвич с куриным филе по-домашнему (Homestyle Chicken Fillet Sandwich)",214 к ал,"13,78 г","8,1 г","20,25 г"
"WENDY'S, сэндвич с куриным филе, приготовленным на гриле (Ultimate Chicken Grill Sandwich)",179 к ал,"14,73 г",5 г,"17,78 г"
"Ћегкое м€гкое мороженое, смешанное с конфетами из молочного шоколада",182 к ал,"4,02 г","6,46 г","26,62 г"
"Ћегкое м€гкое мороженое, смешанное с кусочками печень€",169 к ал,"3,97 г","5,66 г","25,45 г"
"ћакдональдс, Ѕэкон –анч, салат без цыпленка",61 к ал,"4,14 г","3,64 г","2,7 г"
"ћакдональдс, Ѕэкон –анч, салат с цыпленком гриль",81 к ал,"10,28 г","3,14 г","2,64 г"
"ћакдональдс, —айд —алат",20 к ал,"1,03 г","0,19 г","2,7 г"
"ѕицца, с м€сом и овощами, на растущем корже, замороженна€, приготовленна€",271 к ал,"12,63 г","11,75 г","26,48 г"
"ѕицца, с м€сом и овощами, на стандартном корже, замороженна€, приготовленна€",276 к ал,"11,28 г","14,43 г","22,94 г"
