ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"ћолоко обезжиренное, пастеризованное",32 к ал,3 г,"0,05 г","4,9 г"
"ћолоко обезжиренное, с витаминами A и D",34 к ал,"3,37 г","0,08 г","4,96 г"
"ћолоко обезжиренное, с добавлением сухого обезжиренного молока, с витаминами A и D",37 к ал,"3,57 г","0,25 г","5,02 г"
"ћолоко обезжиренное, топленое",32 к ал,3 г,"0,05 г",5 г
ћолоко овечье,108 к ал,"5,98 г",7 г,"5,36 г"
ћолоко овечье,111 к ал,"5,6 г","7,7 г","4,8 г"
ћолоко с гидрогенизированным растительным маслом,63 к ал,"3,33 г","3,46 г","4,74 г"
ћолоко с маслами лауриновой кислоты,63 к ал,"3,33 г","3,4 г","4,74 г"
ћолоко сгущенное без сахара 2% жирности с витаминами A и D,107 к ал,"6,67 г",2 г,"15,74 г"
"ћолоко сгущенное без сахара 7,5% жирности, с витамином D",134 к ал,"6,81 г","7,56 г","10,04 г"
"ћолоко сгущенное без сахара 7,5% жирности, с витамином ј",134 к ал,"6,81 г","7,56 г","10,04 г"
"ћолоко сгущенное без сахара 7,8% жирности, стерилизованное",138 к ал,"6,4 г","7,8 г","10,3 г"
"ћолоко сгущенное без сахара 8,3% жирности, стерилизованное",144 к ал,7 г,"8,3 г","9,5 г"
"ћолоко сгущенное без сахара 9,5% жирности, стерилизованное",162 к ал,"8,3 г","9,5 г","11,3 г"
"ћолоко сгущенное без сахара обезжиренное, с витаминами A и D",78 к ал,"7,55 г","0,2 г","11,35 г"
"ћолоко сгущенное без сахара обезжиренное, стерилизованное",71 к ал,"6,6 г","0,2 г","10,8 г"
"ћолоко сгущенное с сахаром 2,5% жирности",271 к ал,"7,4 г","2,5 г","54,6 г"
ћолоко сгущенное с сахаром 5% жирности,295 к ал,"7,1 г",5 г,"55,2 г"
"ћолоко сгущенное с сахаром 8,5% жирности, цельное",328 к ал,"7,2 г","8,5 г","55,5 г"
"ћолоко сгущенное с сахаром 8,7% жирности",321 к ал,"7,91 г","8,7 г","54,4 г"
"ћолоко сгущенное с сахаром, ""—лав€нское""",261 к ал,"7,4 г","0,2 г","57,1 г"
"ћолоко сгущенное с сахаром, обезжиренное",259 к ал,"7,5 г","0,2 г","56,8 г"
"ћолоко сухое 15% жирности, полуобезжиренное",432 к ал,"28,5 г",15 г,"44,7 г"
"ћолоко сухое 25% жирности, цельное",483 к ал,"24,2 г",25 г,"39,3 г"
"ћолоко сухое 26,7% жирности, цельное",496 к ал,"26,32 г","26,71 г","38,42 г"
"ћолоко сухое 26,7% жирности, цельное, с витамином D",496 к ал,"26,32 г","26,71 г","38,42 г"
ћолоко сухое обезжиренное,362 к ал,"33,2 г",1 г,"52,6 г"
ћолоко сухое обезжиренное,362 к ал,"36,16 г","0,77 г","51,98 г"
ћолоко сухое обезжиренное со сниженным содержанием кальцием,354 к ал,"35,5 г","0,2 г","51,8 г"
"ћолоко сухое обезжиренное, быстрорастворимое",358 к ал,"35,1 г","0,72 г","52,19 г"
"ћолоко сухое обезжиренное, быстрорастворимое, с витаминами A и D",358 к ал,"35,1 г","0,72 г","52,19 г"
"ћолоко сухое обезжиренное, с витаминами A и D",362 к ал,"36,16 г","0,77 г","51,98 г"
"ћолоко, сгущеное цельное, без доб. витаминов A и D, 8%, консерв.",135 к ал,"6,81 г","7,56 г","10,04 г"
