ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"≈жевика, консервированна€ в насыщенном сахарном сиропе",92 к ал,"1,31 г","0,14 г","19,7 г"
∆имолость,"41,2 к ал",0 г,0 г,"8,5 г"
»зюм без косточек (из винограда кишмиш),281 к ал,"2,3 г","0,5 г","71,2 г"
»зюм с косточками,296 к ал,"2,52 г","0,54 г","71,67 г"
»зюм с косточками (виноград сушеный),276 к ал,"1,8 г","0,54 г","70,9 г"
"»зюм чЄрный без косточек (""коринка"", из винограда „ерный  оринф)",290 к ал,"3,43 г","0,22 г","72,58 г"
"»зюм, без косточек",299 к ал,"3,3 г","0,25 г","74,82 г"
"»зюм, золотистый, без косточек",301 к ал,"3,28 г","0,2 г","76,72 г"
»нжир,54 к ал,"0,7 г","0,2 г",12 г
»нжир,74 к ал,"0,75 г","0,3 г","16,28 г"
»нжир сушеный,257 к ал,"3,1 г","0,8 г","57,9 г"
»нжир сушеный,249 к ал,"3,3 г","0,93 г","54,07 г"
"»нжир сушеный, подслащенный",107 к ал,"1,42 г","0,4 г","23,37 г"
"»нжир, консервированный в водной заливке",53 к ал,"0,4 г","0,1 г","11,79 г"
"»нжир, консервированный в легком сахарном сиропе",69 к ал,"0,39 г","0,1 г","16,15 г"
"»нжир, консервированный в насыщенном сахарном сиропе",88 к ал,"0,38 г","0,1 г","20,7 г"
"»нжир, консервированный в экстра-насыщенном сахарном сиропе",107 к ал,"0,38 г","0,1 г","27,86 г"
»рга,47 к ал,0 г,0 г,"11,4 г"
 алина,"26,3 к ал","0,37 г","1,5 г","6,5 г"
" арамбола, сыра€",31 к ал,"1,04 г","0,33 г","3,93 г"
" арисса, сыра€",62 к ал,"0,5 г","1,3 г","13,63 г"
 елуак (кепа€нг),111 к ал,"2,3 г",2 г,"17,7 г"
 иви,47 к ал,"0,8 г","0,4 г","8,1 г"
" иви Zespri —анголд, новозеландское",63 к ал,"1,02 г","0,28 г","14,39 г"
 иви свежее,61 к ал,"1,14 г","0,52 г","11,66 г"
" иви, джем",243 к ал,"0,4 г","0,2 г","58,9 г"
" иви, пюре",47 к ал,"0,8 г","0,4 г","8,2 г"
 изил,45 к ал,1 г,"0,011 г",9 г
 лементины,47 к ал,"0,85 г","0,15 г","10,32 г"
 лубника,41 к ал,"0,8 г","0,4 г","7,5 г"
 лубника замороженна€,35 к ал,"0,43 г","0,11 г","7,03 г"
" лубника ломтиками, замороженна€, подслащенна€",96 к ал,"0,53 г","0,13 г","24,02 г"
" лубника, сыра€",32 к ал,"0,67 г","0,3 г","5,68 г"
" лубничный компот, клубника консервированна€ в сахарном сиропе",92 к ал,"0,56 г","0,26 г","21,83 г"
 люква,28 к ал,"0,5 г","0,2 г","3,7 г"
 люква,46 к ал,"0,46 г","0,13 г","8,37 г"
" люква сушена€, подслащенна€",308 к ал,"0,17 г","1,09 г","77,5 г"
" люквенно-апельсиновый соус, консервированный",178 к ал,"0,3 г","0,1 г","46,2 г"
" люквенный соус желеобразный, консервированный, OCEAN SPRAY",160 к ал,"1,05 г","0,04 г","39,61 г"
" люквенный соус с цельными €годами, консервированный, OCEAN SPRAY",158 к ал,"0,75 г","0,05 г","39,2 г"
" люквенный соус, консервированный, подслащенный",159 к ал,"0,9 г","0,15 г","39,3 г"
 омпот из земл€ники.  онсервы,0 к ал,0 г,0 г,0 г
 омпот из слив венгерка.  онсервы,96 к ал,"0,5 г","0,1 г","23,9 г"
 омпот из слив ренклод.  онсервы,86 к ал,"0,3 г",0 г,"21,9 г"
 онцентрат малинового сока,221 к ал,"3,04 г","1,34 г","52,09 г"
 ратева св€щенна€,69 к ал,"1,5 г","0,1 г","12,3 г"
 рыжовник,45 к ал,"0,7 г","0,2 г","9,1 г"
 рыжовник,44 к ал,"0,88 г","0,58 г","5,88 г"
" рыжовник, консервированный в легком сахарном сиропе",73 к ал,"0,65 г","0,2 г","16,35 г"
 умкват,71 к ал,"1,88 г","0,86 г","9,4 г"
 урага (абрикосы сушеные без косточки),232 к ал,"5,2 г","0,3 г",51 г
Ћайм,30 к ал,"0,7 г","0,2 г","7,74 г"
Ћимон,34 к ал,"0,9 г","0,1 г",3 г
"Ћимон без цедры, сырые",29 к ал,"1,1 г","0,3 г","6,52 г"
"Ћимонна€ цедра, сыра€",47 к ал,"1,5 г","0,3 г","5,4 г"
"Ћимонник китайский, €годы высушенные с семенами",416 к ал,0 г,"40,3 г","13,3 г"
"Ћимонник китайский, €годы свежие без сем€н",47 к ал,0 г,0 г,"2,2 г"
Ћичи,66 к ал,"0,83 г","0,44 г","15,23 г"
"Ћичи, сушеные",277 к ал,"3,8 г","1,2 г","66,1 г"
"Ћоганова €года, мороженна€",55 к ал,"1,52 г","0,31 г","7,72 г"
Ћонган,60 к ал,"1,31 г","0,1 г","14,04 г"
"Ћонган, сушеный",286 к ал,"4,9 г","0,4 г",74 г
ћалайское €блоко (ямбоза),25 к ал,"0,6 г","0,3 г","5,7 г"
ћалина,52 к ал,"1,2 г","0,65 г","5,44 г"
ћалина,46 к ал,"0,8 г","0,5 г","8,3 г"
ћалина дика€ (индейцы северных великих равнин),62 к ал,"1,12 г","0,28 г","6,35 г"
"ћалина красна€, замороженна€",56 к ал,"1,15 г","0,81 г","8,25 г"
"ћалина красна€, замороженна€, подслащенна€",103 к ал,"0,7 г","0,16 г","21,76 г"
"ћалина красна€, консервированна€ в насыщенном сахарном сиропе",91 к ал,"0,83 г","0,12 г","20,06 г"
"ћалиновое пюре без сем€н, без сахара",41 к ал,"1,02 г","0,87 г","7,09 г"
"ћалиновое пюре с семенами, без сахара",55 к ал,"1,1 г","0,97 г","7,21 г"
"ћаме€ (мамме€), антильский абрикос, сырой",51 к ал,"0,5 г","0,5 г","9,5 г"
ћанго,60 к ал,"0,82 г","0,38 г","13,38 г"
ћанго сушеное подслащенное,319 к ал,"2,45 г","1,18 г","76,18 г"
"ћангостан (мангустин), консервированный в сиропе",73 к ал,"0,41 г","0,58 г","16,11 г"
ћандарин,53 к ал,"0,81 г","0,31 г","11,54 г"
ћандарин,38 к ал,"0,8 г","0,2 г","7,5 г"
"ћандарин, консервированный в легком сахарном сиропе",61 к ал,"0,45 г","0,1 г","15,49 г"
"ћандарин, консервированный в собственном соку",37 к ал,"0,62 г","0,03 г","8,87 г"
"ћандарин, консервированный в собственном соку, сухой продукт",38 к ал,"0,75 г","0,04 г","8,21 г"
ћандариновый джем,276 к ал,"0,3 г",0 г,"71,8 г"
ћаракуй€ (пурпурна€ гранадилла),97 к ал,"2,2 г","0,7 г","12,98 г"
"ћожжевельник, шишко€годы",130 к ал,0 г,0 г,"28,7 г"
ћорошка,40 к ал,"0,8 г","0,9 г","7,4 г"
ћорошка (јл€ска),51 к ал,"2,4 г","0,8 г","8,6 г"
ћушмула,47 к ал,"0,43 г","0,2 г","10,44 г"
"Ќансе фрукт (бирсонима толстолистна€), замороженный",73 к ал,"0,66 г","1,16 г","9,47 г"
"Ќансе фрукт (бирсонима толстолистна€), консервированный в сиропе",95 к ал,"0,56 г","1,28 г","15,79 г"
"Ќаранхилла, замороженна€",25 к ал,"0,44 г","0,22 г","4,8 г"
Ќектарин,44 к ал,"1,06 г","0,32 г","8,85 г"
ќблепиха,82 к ал,"1,2 г","5,4 г","5,7 г"
ќпунци€ (колюча€ груша),41 к ал,"0,73 г","0,51 г","5,97 г"
ѕапай€,43 к ал,"0,47 г","0,26 г","9,12 г"
